Subject,Start Date,Start Time,End Date,End Time,Description,Location
9th Grade Girl's Soccer - @ Fayetteville High School,03/18/2026,05:00 PM,03/18/2026,06:30 PM,Fee: $60.00 | Total: $60.00,"994 W Martin Luther King Blvd, Fayetteville, AR 72701"
9th Grade Boy's Soccer - @ Fayetteville High School,03/18/2026,06:15 PM,03/18/2026,07:45 PM,Fee: $60.00 | Total: $60.00,"994 W Martin Luther King Blvd, Fayetteville, AR 72701"
Varsity Girl's Soccer - @ Lincoln High School - Arkansas,03/19/2026,05:00 PM,03/19/2026,06:30 PM,Fee: $70.00 | Travel: $20.40 | Total: $90.40,"1392 E Pridemore Dr, Lincoln, AR 72744"
Varsity Boy's Soccer - @ Lincoln High School - Arkansas,03/19/2026,07:00 PM,03/19/2026,08:30 PM,Fee: $70.00 | Total: $70.00,"1392 E Pridemore Dr, Lincoln, AR 72744"
 Varsity Girl's Soccer - @ Prairie Grove High School,03/31/2026,05:00 PM,03/31/2026,06:30 PM,Fee: $70.00 | Total: $70.00,"500 Cole Dr, Prairie Grove, AR 72753"
Varsity Boy's Soccer - @ Prairie Grove High School,03/31/2026,07:00 PM,03/31/2026,08:30 PM,Fee: $70.00 | Travel: $18.80 | Total: $88.80,"500 Cole Dr, Prairie Grove, AR 72753"
JV Girl's Soccer - @ Prairie Grove High School,04/02/2026,04:00 PM,04/02/2026,05:30 PM,Fee: $60.00 | Travel: $18.80 | Total: $78.80,"500 Cole Dr, Prairie Grove, AR 72753"
Varsity Girl's Soccer - @ Prairie Grove High School,04/02/2026,05:00 PM,04/02/2026,06:30 PM,Fee: $85.00 | Travel: $18.80 | Total: $103.80,"500 Cole Dr, Prairie Grove, AR 72753"
JV Boy's Soccer - @ NORTHSIDE HIGH SCHOOL,04/07/2026,04:00 PM,04/07/2026,05:30 PM,Fee: $60.00 | Total: $60.00,"N 25th St, Fort Smith, AR 72901"
Varsity Boy's Soccer - @ NORTHSIDE HIGH SCHOOL,04/07/2026,05:30 PM,04/07/2026,07:00 PM,Fee: $70.00 | Total: $70.00,"N 25th St, Fort Smith, AR 72901"
Varsity Girl's Soccer - @ NORTHSIDE HIGH SCHOOL,04/07/2026,07:15 PM,04/07/2026,08:45 PM,Fee: $70.00 | Total: $70.00,"N 25th St, Fort Smith, AR 72901"
JV Girl's Soccer - @ Huntsville High School,04/14/2026,04:00 PM,04/14/2026,05:30 PM,Fee: $60.00 | Travel: $29.60 | Total: $89.60,"594 S Harris St, Huntsville, AR 72740"
Varsity Girl's Soccer - @ Huntsville High School,04/14/2026,05:00 PM,04/14/2026,06:30 PM,Fee: $70.00 | Travel: $29.60 | Total: $99.60,"594 S Harris St, Huntsville, AR 72740"
Varsity Boy's Soccer - @ Huntsville High School,04/14/2026,07:00 PM,04/14/2026,08:30 PM,Fee: $70.00 | Total: $70.00,"594 S Harris St, Huntsville, AR 72740"
JV Boy's Soccer - @ VAN BUREN HIGH SCHOOL,04/17/2026,04:00 PM,04/17/2026,05:30 PM,Fee: $60.00 | Travel: $3.20 | Total: $63.20,"2001 Pointer Trail, Van Buren, AR 72956"
Varsity Boy's Soccer - @ VAN BUREN HIGH SCHOOL,04/17/2026,05:15 PM,04/17/2026,06:45 PM,Fee: $70.00 | Total: $70.00,"2001 Pointer Trail, Van Buren, AR 72956"
Varsity Girl's Soccer - @ VAN BUREN HIGH SCHOOL,04/17/2026,07:00 PM,04/17/2026,08:30 PM,Fee: $70.00 | Total: $70.00,"2001 Pointer Trail, Van Buren, AR 72956"
JV Girl's Soccer - @ NORTHSIDE HIGH SCHOOL,05/01/2026,04:00 PM,05/01/2026,05:30 PM,Total: Unpaid,"N 25th St, Fort Smith, AR 72901"
Varsity Girl's Soccer - @ NORTHSIDE HIGH SCHOOL,05/01/2026,05:30 PM,05/01/2026,07:00 PM,Fee: $70.00 | Total: $70.00,"N 25th St, Fort Smith, AR 72901"
Varsity Boy's Soccer - @ NORTHSIDE HIGH SCHOOL,05/01/2026,07:00 PM,05/01/2026,08:30 PM,Fee: $70.00 | Total: $70.00,"N 25th St, Fort Smith, AR 72901"
